	af_id	af_hidden	af_global	af_enabled	af_deleted	af_throttled	af_group	af_timestamp	af_actions	af_hit_count	af_public_comments	manual_tags	comments
77	31	1	0	1	0	0	default	20171016132909	disallow	34966	ASCII art	hidden_vandalism	or bad_style? What is it about ASCII art (apart from being terribly unencyclopedic, except in the article about ASCII art?) why is this filter hidden?
78	164	0	0	1	0	0	default	20150218122411	tag	34351	Possible cut and paste moves	good_faith_wiki_syntax	the problem is in the end, that sometimes HTML markup is copied along; but I won’t introduce a new tag for the moment
79	716	0	0	1	0	0	default	20151205214255		34135	New user tagging or de-tagging article as FA/GA	general_vandalism	or general_tracking; used to be set to “disallow” but they reverted to “log only” because of too many false positives
80	96	0	0	0	1	0	default	20150212173317		33114	Newly created articles that don't mention their subject	good_faith_article_creation	users forgot to give the article a title? Or what is that?
81	167	0	0	1	0	0	default	20150724165931	warn	32972	Botched submissions to Articles for creation	good_faith_wiki_syntax	Or wiki_policy
82	323	0	0	1	0	0	default	20160614005551	tag	31881	Undoing anti-vandalism bot	avoidant_vandalism	(if it wasn’t a bug with the bot the editor reverted in good faith);
83	613	0	0	0	1	0	default	20160614035203	warn,tag	28327	Signing in article	wiki_policy	or bad_style?
84	728	0	0	0	1	0	default	20151006132227	tag	25869	Huggle	general_tracking	
85	627	0	0	1	0	0	default	20181125143134	tag	24764	Promotional text added by user to draft in own user(-talk) page or in draft namespace	conflict_of_interest	
86	846	0	0	1	0	0	default	20170406020700	tag	24283	LTA tracking	long_term_abuse	
87	623	1	0	0	1	0	default	20160614035424	disallow	24030	Signing in articles II	wiki_policy	or bad_style?, see filter 613 too
88	664	0	0	1	0	0	default	20181111001413	warn	22539	Test edits	good_faith_test_edits	
89	342	0	0	0	1	0	default	20160614031603		21810	Redirect becoming article	unclear	I don’t understand what the problem is with this
90	657	0	0	1	0	0	default	20150923100538	warn,tag	21684	Adding an external link to a disambiguation page	wiki_policy	
91	113	0	0	1	0	0	default	20181111001344	warn,tag	20885	Misplaced #redirect in articles	good_faith_wiki_syntax	“Back to warn, no reason to deny it, we can't deny all incorrect syntax, so no reason to try to catch this one case -P” is this an example for misusing a filter? (as per no filter should be catching trivial formatting mistakes)?
92	711	0	0	1	0	0	default	20171009011036		20699	Dead link replacement	spam	or seo (comment: “See [[WP:DEADLINKSPAM]] - Popular SEO tactic where dead links are replaced with spam links. --Samwalton9, 21 July 2015”), but we don’t have any “seo” labels so far and we could keep it that way
93	460	0	0	0	1	0	default	20140303202225	disallow	20505	Feedback: Foul words	personal_attacks	
94	59	0	0	1	0	0	default	20181018235413	tag	19938	New user removing templates on image description	good_faith_template	due to action
95	174	0	0	1	0	0	default	20170514124342	warn,tag	19223	New user removing XfD template	good_faith_template	due to action, but could also be “avoidant_vandalism”
96	520	0	0	0	1	1	default	20140303202339	disallow	18596	Feedback: No punctuation or spaces	bad_style	
97	397	1	0	1	0	0	default	20181108195959	disallow	18114	Userpage vandalism	hidden_vandalism	personal_attacks maybe too
98	155	0	0	0	1	0	default	20090928230926		17517	Adding links to youtube	general_tracking	maybe ‘wiki_policy’? I’m not quite clear on why this is problematic
99	782	0	0	1	0	0	default	20181023223745	disallow	16702	Content Translation Edits	unclear	I don’t understand what the problem is with this
100	655	0	0	1	0	0	default	20160520185734	tag	16051	Large plot section addition	general_tracking	probably the justification for this is potential hoaxing, I’m not quite sure; ‘unclear’ is another possibility for a label
101	602	0	0	1	0	0	default	20180331105543	warn,tag	15758	Arbitration discretionary sanctions alerts	unclear	if I understand correctly, the purpose of this template is to corteously alert a user they were a subject to sanctions; however, why there is a filter for this  is beyond me
102	205	1	0	0	1	0	default	20110310110641		15519	Scibaby #1	hidden_vandalism	
103	106	0	0	0	1	0	default	20090830005331		14513	Date linking / delinking	hoaxing	the action used to be throttle for 3 months, then the filter was disabled; point is “prevent change of dates from a user who is not a regular contributor to a page”
104	2	1	0	0	0	0	default	20181008172604		14104	Test filter: for testing private filters	test	
105	51	1	0	1	0	0	default	20181230024907		14060	LTA Username / LTA IP hopping disruption (Oshwah)	long_term_abuse	
106	224	0	0	1	0	0	default	20170910203050	tag	13895	Copyvio tag removal	good_faith_deletion	potentially, it’s avoidant_vandalism
107	420	0	0	1	0	0	default	20181211033934	throttle,disallow	13874	Large removal of talk page content by IP	talk_page_vandalism	
108	345	0	0	1	0	0	default	20160614031816	warn,tag	13832	Extraneous formatting from browser extension	bug	
109	733	0	0	1	0	0	default	20151102053740		13770	New user creating a page in someone else's userspace	good_faith_userpage	
110	554	0	0	1	0	0	default	20181023194722	disallow	13394	top100 blog charts	spam	alternatives: ‘wiki_policy’ or ‘bad_style’ (or introduce ‘unreliable_sources’, since I think that’s the problem here)
111	630	1	0	1	0	0	default	20150725140936	tag	13025	New users de-userfying pages	hidden_vandalism	
112	28	0	0	0	1	0	default	20100106173322		12264	New user redirecting an existing substantial page or changing a redirect	general_tracking	Or maybe the intention was to catch ‘page_move_vandalism’ deleted, since: “Terrible run time + not catching much useful + filter is overwrought now = disabling.  -Wknight94”
113	366	0	0	0	1	0	default	20110310111443		12257	Addition of seemingly random characters	good_faith_test_edits	was log only; eventually merged into filter 135
114	819	1	0	0	0	0	default	20190104180937	throttle	12207	Derp vandal	hidden_vandalism	
115	837	0	0	1	0	0	default	20170208212523		12174	Removal of disambiguation templates by new users	good_faith_template	
116	102	1	0	1	0	0	default	20181128153750	disallow	11903	Abusive account names	hidden_vandalism	
117	532	0	0	0	1	0	default	20160614033920	tag	11857	Interwiki Addition	general_tracking	or ‘unclear’; not quite sure what the intention of this filter was
118	559	1	0	1	0	0	default	20170514124407		11787	archive.is additions	hidden_vandalism	
119	825	1	0	0	0	0	default	20180424212713		11749	Descent category added	hidden_vandalism	
120	77	1	0	0	1	0	default	20160818205501	warn	11528	Various ASCII Vandals	hidden_vandalism	
121	76	0	0	0	1	0	default	20150212173255	warn	11033	Adding email address	doxxing	potentially
122	394	0	0	0	1	0	default	20120808231420		10996	Extremely short article creation	good_faith_article_creation	was only enabled for 2 weeks
123	409	0	0	0	1	0	default	20120808231558		10880	news sources on BLPs	bad_style	or ‘unreliable_refs’ (this is about daily mail in BLP articles)
124	773	1	0	0	0	0	default	20181220031744		9990	TNT's test filter	test	
125	890	0	0	1	0	0	default	20181207113011	warn,disallow	9932	Random typing in username	username_vandalism	
126	697	0	0	0	0	0	default	20151230224636		9807	User making large contribution with first edits	good_faith	or ‘general_tracking’; or ‘conflict_of_interest’ as per comments: “Testing if this is useful to monitor; may suggest a paid article, most I've seen are created in one go in an account's first edits. --Samwalton9, 13 June 2015  This is useful, but I don't think anyone's tracking it so disabling for now. --Samwalton9, 30 Dec 2015”
127	218	0	0	0	1	0	default	20150212173428		9802	User adding xx/xx/xxxx probably a date	unclear	never really acted upon and deleted after 3 months; Or maybe ‘good_faith’? The point is apparently that this is ambiguous as a date format
128	483	1	0	0	1	0	default	20160614033218		9357	Users creating own talk	hidden_vandalism	although I’m really confused as to why it is bad to write on the own talk page
129	163	0	0	0	1	0	default	20181104190423	warn,tag	9289	Redirect to non-existent page	good_faith_redirect	
130	784	0	0	1	0	0	default	20170419165539	disallow	9265	Harambe vandalism	general_vandalism	or silly_vandalism? It is definitely viewed as vandalism by the edit filter managers, although I’m not quite sure in which category it falls..; maybe it can be part of a potential ‘meme_vandalism’ or similar
131	735	0	0	1	0	0	default	20170514124421	tag	9005	Vandalising sport infobox	hoaxing	I think it fits best, since it’s often not really obvious that it’s bollocks
132	531	0	0	0	1	0	default	20160614033912	tag	8856	Interwiki Removal	general_tracking	or introduce interwiki_tracking? There was the interwiki addition filter as well..
133	81	0	0	0	1	0	default	20150625141029		8491	Badcharts	spam	or ‘unreliable_refs’; or ‘bad_style’; compare with the top100charts filter
134	878	0	0	1	0	0	default	20180416160027	tag	8290	New user removing COI template	good_faith_template	
135	521	0	0	0	1	0	default	20140303202349	disallow	8149	Feedback: All caps	not_polite	or personal_attacks
136	478	1	0	1	0	0	default	20181213063717	disallow	7862	Talk page abuse	talk_page_vandalism	
137	875	1	0	0	0	0	default	20190104181008	warn	7585	Derp II	hidden_vandalism	
138	912	0	0	1	0	0	default	20181230045936	warn,tag	7505	"Possible ""fortnite"" vandalism"	silly_vandalism	ok, so fortnite appears to be a video game; or ‘general_vandalism’ or ‘meme_vandalism’
139	643	1	0	1	0	0	default	20181127140355	throttle	7109	Persistent sockpuppetry	sockpuppetry	
140	261	1	0	0	0	0	default	20170928195215	throttle,disallow	6548	Page creation throttle for new users	hidden_vandalism	I don’t have ‘page_creation_vandalism’ anyway
141	183	0	0	0	0	0	default	20150212182934	warn	6545	AFC submissions in wrong namespace	good_faith_article_creation	or good_faith_procedure
142	473	0	0	0	1	0	default	20140303202257	disallow	6369	Feedback: Repeating characters	silly_vandalism	
143	410	0	0	0	1	0	default	20120808231603		6285	blog added to BLPs	bad_style	unreliable_sources
144	905	0	0	0	1	0	default	20180415235317		6267	bots that may ping users	general_tracking	or bot_tracking?
145	313	0	0	0	1	0	default	20150212173457	warn	6259	Skype Toolbar Formatting	bug	
146	425	1	0	1	0	0	default	20170111031407		6209	Magic/astrology spambots	bot_vandalism	
147	796	1	0	1	0	0	default	20190103105102	throttle,disallow	6029	Possible Ref Desk disruption	hidden_vandalism	
148	97	0	0	0	1	0	default	20090807112403		5973	Personal attacks by new user	personal_attacks	
149	869	0	0	1	0	0	default	20180828225237	warn	5855	"Adding ""Daily Mail"" to articles"	bad_style	unreliable_sources
150	294	1	0	1	0	0	default	20150818185048	disallow	5395	Personal attacks	personal_attacks	
151	702	0	0	1	0	0	default	20171210235420	warn	5302	Warning against clipboard hijacking	good_faith	or good_faith_hijacking ? Or maybe maintenance?
152	152	0	0	0	1	0	default	20090928230917		5148	External links with referal tags	general_tracking	was only enabled for 4 months; “WP:RAF.  Create a log of external links with referal id tags in them.  Disable, appears to be inactive (log only filter). If you are using this filter, please let me know, and I'll reenable it -Prodego “
153	139	1	0	1	0	0	default	20181023224247	disallow	5135	Fixed position vandalism	hidden_vandalism	
154	463	1	0	0	1	0	default	20140303202236	disallow	4965	Feedback: Adding email addresses	doxxing	
155	632	0	0	1	0	0	default	20150714131905	tag	4839	Creating blank pages	good_faith_article_creation	in the meantime deleted: “Disable and delete. Filter is broken in that it tags edits that blank the page to 0 bytes, and since ACTPERM there are very few blank pages created, with Filter 98 tagging short article creations covering pretty much all that this does. -Galobtter 20190114”
156	874	1	0	1	0	0	default	20181219190423	disallow	4745	Long term abuse username / impersonation creations	long_term_abuse	additional tags: ‘impersonation’, ‘username_vandalism’
157	894	0	0	1	0	0	default	20180913023553	warn	4625	Possible Self-Published Sources	wiki_policy	or bad_style, biased_pov, conflict_of_interest
158	887	0	0	1	0	0	default	20181105103817	warn,disallow	4589	Excessive repetition in usernames	username_vandalism	
159	895	1	0	0	0	0	default	20180927230229		4577	Possible spambot username	hidden_vandalism	
160	5	0	0	1	0	0	default	20181018194804	warn,tag	4558	User self-renaming or moving user talk pages into article talk space	good_faith_move	
161	524	0	0	0	1	0	default	20160614033823		4502	Interwiki bot	bot_vandalism	is what seems to have been targeted, in the meantime obsolete: “Disabled, all bad interwiki bots are long gone – addshore”
162	435	0	0	0	1	0	default	20120906154650	warn	4380	Non-confirmed user adding protection template to a page	good_faith_template	bc of action and comment “Many of those are good faith users who think that adding the template will protect the page. Log only. -Sole Soul”
163	789	1	0	0	0	0	default	20180412180509		4375	BethNaught's test filter	test	
164	464	1	0	1	0	0	default	20160614010306	warn	4290	Possible open proxy	wiki_policy	open proxies are forbidden: https://en.wikipedia.org/wiki/Wikipedia:WikiProject_on_open_proxies
165	68	1	0	1	0	0	default	20181023224224	throttle,disallow	3905	Pagemove throttle for new users	page_move_vandalism	as per disallow action and title; otherwise ‘hidden_vandalism’
166	238	0	0	0	1	0	default	20100217195031		3857	New article without normal opening sentence	good_faith_article_creation	or good_faith_content ? Or good_faith_style ? Or simply bad_style ?
167	573	0	0	0	1	0	default	20160614034544		3718	Multiple blank lines	good_faith	or general_maintenance ? See comment “Looks for multiple blank lines.  Appears to happen more often with VisualEditor.”
168	497	0	0	0	1	0	feedback	20130108151106	disallow	3660	Feedback: Common Vandalism 5	personal_attacks	
169	17	1	0	0	1	0	default	20170509184817	tag	3563	Prolific socker II	sockpuppetry	
170	670	0	0	0	1	0	default	20150407175738		3514	New user removing references	good_faith_refs	
171	860	0	0	1	0	0	default	20181112215348	disallow	3451	Ryan Ross vandalism	silly_vandalism	or general_vandalism ?
172	105	0	0	0	1	0	default	20090928191623		3379	Hypothetical album releases	wiki_policy	“(WP:RAF) Detect the addition of hypothetical future album releases that usually violate WP:CRYSTAL and/or WP:V”
173	494	0	0	0	1	0	feedback	20130108151035	disallow	3325	Feedback: Common Vandalism 2	personal_attacks	
174	502	0	0	0	1	0	feedback	20130424011002	disallow	3280	Feedback: Extremely long words	silly_vandalism	
175	777	0	0	1	0	0	default	20171210164915		3149	End date present vandal	wiki_policy	"I actually don’t see the edits as vandalism, but maybe bad style? Why aren’t you supposed to do this? Because it’s unencyclopedic, since it’s unclear when “present” is? Then it’s  policy violation or bad style “Repurposed for a vandal that replaces end dates with ""present"" ~MA” – so filter used to have a somewhat different function"
176	579	1	0	1	0	0	default	20180923065811		3112	Possible sockpuppet account creations	sockpuppetry	
177	850	0	0	1	0	0	default	20170420153045	warn	3112	New user moving page to project space	good_faith_move	
178	322	1	0	0	1	0	default	20120203223448	throttle	3091	Null edits by new editors	hidden_vandalism	
179	289	0	0	0	1	0	default	20150212173453	warn	3051	New user creating interrogative pages	bad_style	
180	268	1	0	0	1	0	default	20150212173449	warn	2964	Red link vandalism	hidden_vandalism	or, in theory: ‘link_vandalism’ bc of the name
181	264	1	0	1	0	0	default	20170511025503	disallow	2919	Specific-page vandalism	hidden_vandalism	
182	52	1	0	1	0	0	default	20181006230705	disallow	2890	Edit summary vandalism II	hidden_vandalism	
183	590	0	0	0	0	0	default	20170414185610		2850	Unicode replacement characters	bug	dunno, it’s a unicode question mark in a square.. that’s probably in there by mistake because something else went wrong..
184	176	0	0	0	1	0	default	20090928230931		2820	user space link added in article space	good_faith	maybe a special category for mixing up user and article space? I think this happens somewhat often..
185	721	1	0	1	0	0	default	20171002133237	disallow	2770	Armenian football vandal or similar	hidden_vandalism	
186	593	0	0	0	1	0	default	20140102185042		2764	Monitor addition of archive.org	general_tracking	I’m not quite certain why is this an issue; I thought archive.org is a legit archiving mechanism?
187	495	0	0	0	1	0	feedback	20130108151045	disallow	2697	Feedback: Common Vandalism 3	personal_attacks	or profanity_vandalism ; but since it’s in feedback, I’d say it’s more personal
188	479	0	0	0	1	0	default	20160614033123	warn	2692	Adding example.jpg to article space	good_faith	it’s not exactly test edit (or not necessarily); it’s most probably an oversight
189	783	0	0	1	0	0	default	20170418154458	warn	2677	Adding {{persondata}}	good_faith_template	apparently a deprecated template or similar, but some long-term editors still attempt to add it
190	496	0	0	0	1	0	feedback	20130108151054	disallow	2658	Feedback: Common Vandalism 4	personal_attacks	
191	403	1	0	0	1	0	default	20130404080817		2605	Inappropriate use of userpage	hidden_vandalism	
192	53	0	0	0	1	0	default	20090423131929		2595	trademark/copyright symbols	spam	or copyright_violation, see comments “These should almost never be used in articles and are usually spam and/or copyvios”
193	840	0	0	0	0	0	default	20181008213422		2532	Indexing user pages	self_promotion	or promotion in general, see “Support this, as a good way to catch low-flying promotional content. CrowCaw 00:01, 20 February 2017 (UTC)” https://en.wikipedia.org/w/index.php?oldid=766629914#User_space_indexing
194	242	1	0	1	0	0	default	20150219194933	throttle,disallow	2531	Redirecting a substantial existing page - new user throttle	hidden_vandalism	
195	898	1	0	1	0	0	default	20180414083948		2343	Cyp test filter	test	
196	904	0	0	0	1	0	default	20180406183614		2338	Long edit summaries	general_tracking	“I think we have enough data. Disabling ~MA”: so this was just in order to get sense for something
197	861	0	0	1	0	0	default	20181224172959		2256	Crow test filter	test	
198	732	1	0	0	1	0	default	20170402074526	disallow	2195	Chinese spam attack?	spam	
199	233	1	0	0	1	0	default	20101104003357	disallow	2189	Targeted user talk vandalism	hidden_vandalism	
